codeAiot;numeroRubrique;nature;alinea;regimeAutoriseAlinea;quantiteTotale;unite;dateMotif
"0005201095";"2710";"collecte de déchets dangereux-DC";"1.b";"Déclaration avec contrôle";"6.5";t;
"0005201095";"2714";"déchets non dangereux de papiers, plastiques, bois,? (transit) hors 2710,2711 et 2719";"2";Déclaration;"750.0";"m3";
"0005206024";"2712";"Stockage, dépollution, démontage,? de VHU";"1";Enregistrement;"9605.000";"m2";"26/10/2018"
"0005203639";"2510";"Carrières (exploitation de)";"1";Autorisation;;;
"0005211952";"2710";"collecte de déchets dangereux-DC";"1.b";"Déclaration avec contrôle";"5.090";t;"16/02/2015"
"0005211952";"2710";"collecte de déchets non dangereux-E";"2.a";Enregistrement;"393.000";"m3";"16/02/2015"
"0005209133";"2515";"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes";"1.a";Enregistrement;"895.000";kW;"22/06/2010"
"0005209133";"2510";"Carrières (exploitation de)";"1";Autorisation;;;"22/06/2010"
"0005209133";"2517";"Produits minéraux ou déchets non dangereux inertes (transit)";"1";Enregistrement;"100000.000";"m2";"22/06/2010"
"0003103364";"2716";"déchets non dangereux non inertes (transit)";"1";Enregistrement;"12000.0";"m3";
"0005210537";"2510";"Carrières (exploitation de)";"1";Autorisation;;;"26/12/2012"
"0005201163";"2710";"collecte de déchets dangereux-DC";"1.b";"Déclaration avec contrôle";"3.0";t;
"0005201163";"2930";"Ateliers de réparation et entretien de véhicules à moteur";"1.b";"Déclaration avec contrôle";"2100.0";"m2";
"0005201163";"2260";"Supérieure à 500 kW";"1.a";Enregistrement;"700.0";kW;
"0005201163";"2710";"collecte de déchets non dangereux-DC";"2.b";"Déclaration avec contrôle";"279.0";"m3";
"0005201163";"3532";"Valorisation de déchets non dangereux";;Autorisation;"250.0";"t/j";
"0005201163";"2780";"Installations de traitement aérobie de déchets non dangereux";"2.a";Autorisation;"100.0";"t/j";
"0005201163";"2714";"déchets non dangereux de papiers, plastiques, bois,? (transit) hors 2710,2711 et 2719";"1";Enregistrement;"5490.0";"m3";
"0005201163";"2713";"Métaux et déchets de métaux (transit)";"1";Enregistrement;"3600.0";"m2";
"0005201163";"1435";"Stations-service";"2";"Déclaration avec contrôle";"700.0";"m3";
"0005201163";"2780";"Installations de traitement aérobie de déchets non dangereux";"1.a";Autorisation;"150.0";"t/j";
"0005201163";"3532";"Valorisation de déchets non dangereux";;Autorisation;"90.0";"t/j";
"0005201163";"2716";"déchets non dangereux non inertes (transit)";"2";"Déclaration avec contrôle";"610.0";"m3";
"0053320845";"2921";"Installations de refroidissement évaporatif";"1.b";"Déclaration avec contrôle";"465.0";kW;
"0053320845";"2251";"Vins (préparation, conditionnement)";"1";Enregistrement;"45000.0";"hL/an";
"0005213459";"1510";"Entrepot enregistré";"2.b";Enregistrement;"76835.0";"m3";
"0005208708";"2716";"déchets non dangereux non inertes (transit)";"2";"Déclaration avec contrôle";"900.000";"m3";"26/01/2016"
"0005208708";"2780";"Installations de traitement aérobie de déchets non dangereux";"2.a";Autorisation;"98.600";"t/j";"04/04/2025"
"0005208708";"2260";"Supérieure à 100 kW mais inférieure ou égale à 500 kW";"1.b";"Déclaration avec contrôle";"500.000";kW;"26/01/2016"
"0005208708";"2791";"Déchets non dangereux (traitement)";"1";Autorisation;"850.000";"t/j";"04/04/2025"
"0005208708";"3532";"Valorisation de déchets non dangereux";;Autorisation;"98.600";"t/j";"04/04/2025"
"0005208708";"2714";"déchets non dangereux de papiers, plastiques, bois,? (transit) hors 2710,2711 et 2719";"2";Déclaration;"900.000";"m3";"26/01/2016"
"0005208708";"2171";"Dépôts de fumiers, engrais et supports de culture";;Déclaration;"5400.000";"m3";"04/04/2025"
"0005208708";"2170";"Engrais et supports de culture (fabrication) à partir de matières organiques";"1";Autorisation;"16.400";"t/j";"04/04/2025"
"0005208708";"1532";"Stockage bois déclaré";"2.b";Déclaration;"10000.000";"m3";"26/01/2016"
"0005207042";"2930";"Ateliers de réparation et entretien de véhicules à moteur";"1.b";"Déclaration avec contrôle";"2160.000";"m2";"24/01/2018"
"0005207042";"2712";"Stockage, dépollution, démontage,? de VHU";"1";Enregistrement;"3000.000";"m2";"24/01/2018"
"0005201180";"4749";"Perchlorate d'ammonium (numéro CAS 7790-98-9)";;Autorisation;;;"27/04/2018"
"0005201180";"4441";"Liquides comburants catégorie 1,2 ou 3";"1";Autorisation;"1800.000";t;"15/12/2025"
"0005201180";"1450";"Solides inflammables";"1";Autorisation;"60.000";t;"15/12/2025"
"0005211627";"2716";"déchets non dangereux non inertes (transit)";"1";Enregistrement;"10000.0";"m3";
"0005206982";"2521";"Centrale d'enrobage à chaud";"1";Enregistrement;;;
"0005206982";"2515";"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes";"1.a";Enregistrement;"605.0";kW;
"0005206982";"2517";"Produits minéraux ou déchets non dangereux inertes (transit)";"1";Enregistrement;"24820.0";"m2";
"0005206982";"4801";"Houille, coke, lignite, charbon de bois, goudron, asphalte, brais et matières bitumineuses";"2";Déclaration;"340.0";t;
"0005206982";"2521";"Centrale d'enrobage à froid de moins de 1500 t/j";"2.b";Déclaration;"1100.0";"t/j";
"0005206982";"2518";"Installation de production de béton prêt à l'emploi";b;Déclaration;"1.0";"m3";
"0005200351";"4510";"Dangereux pour l'environnement aquatique de catégorie aiguë 1 ou chronique 1";"1";Autorisation;"4476.000";t;"14/08/2024"
"0005200351";"4511";"Dangereux pour l'environnement aquatique de catégorie chronique 2";"1";Autorisation;"1666.000";t;"14/08/2024"
"0005200351";"1185";"Quantité susceptible d'être présente";"2.a";"Déclaration avec contrôle";"3000.000";kg;"14/08/2024"
"0005200351";"4130";"Toxicité aiguë catégorie 3 pour les voies d'exposition par inhalation";"2.a";Autorisation;"118.000";t;"23/12/2021"
"0005200351";"1414";"Installation desservant un dépôt de gaz inflammables liquéfiés soumis à autorisation";"2.a";Autorisation;;;"23/12/2021"
"0005200351";"4331";"Liquides inflammables de catégorie 2 ou catégorie 3";"1";Autorisation;"3137.000";t;"14/08/2024"
"0005200351";"4718";"Supérieure ou égale à 35 t";"1.a";Autorisation;;;"23/12/2021"
"0005200351";"4801";"Houille, coke, lignite, charbon de bois, goudron, asphalte, brais et matières bitumineuses";"1";Autorisation;"1000.000";t;"23/12/2021"
"0005200351";"3410";"dérivés organométalliques";g;Autorisation;;;"23/12/2021"
"0005200351";"4431";"Liquides pyrophoriques catégorie 1";;Autorisation;"175.000";t;"23/12/2021"
"0005200351";"1434";"Liquides inflammables (remplissage ou distribution) autres que 1435";"2";Autorisation;;;"23/12/2021"
"0005200351";"3110";Combustion;;Autorisation;"135.000";MW;"23/12/2021"
"0005200351";"4110";"Toxicité aiguë catégorie 1";"2.a";Autorisation;"18000.000";kg;"23/12/2021"
"0005200351";"2925";"Charge d'accumulateurs dégageant de l'hydrogène";"1";Déclaration;"98.000";kW;"23/12/2021"
"0005200351";"2515";"Broyage, concassage,...et autres produits minéraux ou déchets non dangereux inertes";"1.b";Déclaration;"41.000";kW;"14/08/2024"
"0005200351";"4330";"Liquides inflammables de catégorie 1";"1";Autorisation;"2884.000";t;"14/08/2024"
"0005200351";"1185";"Quantité susceptible d'être présente";"2.b";Déclaration;"1200.000";kg;"14/08/2024"
"0005200351";"2662";"Stockage de polymères enregistré";"1";Enregistrement;"5070.000";"m3";"23/12/2021"
"0005200351";"1630";"Soude ou potasse caustique";"2";Déclaration;"180.000";t;"23/12/2021"
"0005200351";"3410";"caoutchoucs synthétiques";i;Autorisation;;;"23/12/2021"
"0005200351";"4120";"Toxicité aiguë catégorie 2";"2.a";Autorisation;"13.000";t;"23/12/2021"
